,listing_id,popularity_score
195,468809,0.0009278710185054596
196,469117,0.006373855316453505
197,472354,4.948645432029118e-06
198,473060,0.005532585593008554
199,473511,0.00808608663593558
200,476693,4.948645432029118e-05
201,477616,0.009872547636898089
202,477800,0.001855742037010919
203,480083,0.0006928103604840766
204,483008,0.0025831929155191993
205,483789,0.0005938374518434941
206,485211,0.002991456163661602
207,487549,
208,488027,4.948645432029118e-05
209,488203,9.897290864058235e-06
210,489151,0.002058636499724113
211,489563,0.04023991033054477
212,489653,0.00035382814839008195
213,491238,0.030434169406979072
214,494801,9.897290864058237e-05
215,495934,0.0023332863212017292
216,495950,0.00035382814839008195
217,497490,0.029149995917367517
218,500018,0.007697617969521293
219,500530,0.00017320259012101915
220,501253,0.23431093823843074
221,501391,0.0001558823311089172
222,503774,
